Order_ID,Date,Month,City,Region,Category,Product_Name,Customer_Segment,Payment_Method,Quantity,Unit_Price,Revenue,Discount_%,Discount_Amount,Final_Revenue,COGS,Operating_Expenses,Gross_Profit,Net_Profit,Profit_Margin_%,Is_Returned
ORD-10030,2024-01-21,January 2024,Delhi,North,Home & Kitchen,Pressure Cooker,Regular,UPI,4,4894.34,19577.36,10,1957.74,17619.62,12299.25,1543.09,7278.11,5735.02,29.29,No
ORD-10538,2024-02-18,February 2024,Bangalore,South,Sports,Swimming Goggles,New,EMI,3,1016.6,3049.8,0,0,3049.8,1830.34,217.37,1219.46,1002.09,32.86,No
ORD-10349,2024-01-05,January 2024,Chennai,South,Grocery,Honey 1kg,New,EMI,1,1652.07,1652.07,0,0,1652.07,1089.13,185.69,562.94,377.25,22.83,No
ORD-10989,2024-03-05,March 2024,Mumbai,West,Home & Kitchen,Non-Stick Pan,Regular,EMI,5,19464.77,97323.85,0,0,97323.85,57428.37,5060.73,39895.48,34834.75,35.79,No
ORD-11150,2024-03-21,March 2024,Chennai,South,Clothing,Denim Jeans,Regular,Debit Card,2,6594.96,13189.92,10,1318.99,11870.93,6389.05,1311.59,6800.87,5489.28,41.62,No
ORD-10601,2024-02-11,February 2024,Mumbai,West,Electronics,PS5 Controller,Regular,Debit Card,1,9681.73,9681.73,15,1452.26,8229.47,6816.02,1006.53,2865.71,1859.18,19.2,No
ORD-10476,2024-01-18,January 2024,Mumbai,West,Electronics,"Samsung TV 43""",Regular,UPI,4,13951.66,55806.64,5,2790.33,53016.31,41620.18,6599.04,14186.46,7587.42,13.6,No
ORD-10272,2024-03-31,March 2024,Mumbai,West,Home & Kitchen,Air Purifier,Premium,UPI,1,15379.28,15379.28,5,768.96,14610.32,8540.97,1125.4,6838.31,5712.91,37.15,Yes
ORD-10201,2024-03-12,March 2024,Chennai,South,Sports,Treadmill,Loyal,Cash,1,1908.08,1908.08,0,0,1908.08,1080.94,175.13,827.14,652.01,34.17,No
ORD-10322,2024-01-14,January 2024,Hyderabad,South,Sports,Cycling Helmet,Regular,UPI,1,7760.01,7760.01,20,1552,6208.01,4792.12,885.52,2967.89,2082.37,26.83,Yes
ORD-10273,2024-03-10,March 2024,Bangalore,South,Grocery,Protein Powder,Regular,UPI,1,631.99,631.99,0,0,631.99,427.97,68.75,204.02,135.27,21.4,No
ORD-10488,2024-03-15,March 2024,Hyderabad,South,Home & Kitchen,Mixer Grinder,Regular,UPI,2,18490.68,36981.36,0,0,36981.36,21060.61,2722.51,15920.75,13198.24,35.69,No
ORD-10025,2024-03-10,March 2024,Bangalore,South,Sports,Cricket Bat SG,Regular,UPI,2,10150.8,20301.6,15,3045.24,17256.36,12420.74,1162.29,7880.86,6718.57,33.09,No
ORD-10237,2024-02-10,February 2024,Delhi,North,Home & Kitchen,Non-Stick Pan,Regular,Credit Card,2,9452.61,18905.22,0,0,18905.22,11839.82,2208.35,7065.4,4857.05,25.69,No
ORD-11056,2024-02-18,February 2024,Mumbai,West,Home & Kitchen,Water Purifier,Loyal,Credit Card,1,10279.87,10279.87,5,513.99,9765.88,6045.08,1100.1,4234.79,3134.69,30.49,No
ORD-10060,2024-01-15,January 2024,Mumbai,West,Home & Kitchen,Water Purifier,Loyal,EMI,2,2315.01,4630.02,0,0,4630.02,2571.33,279.86,2058.69,1778.83,38.42,No
ORD-10051,2024-03-09,March 2024,Hyderabad,South,Grocery,Amul Butter 500g,Premium,Credit Card,1,1289.6,1289.6,0,0,1289.6,909.11,138.71,380.49,241.78,18.75,No
ORD-10568,2024-01-07,January 2024,Bangalore,South,Sports,Treadmill,Regular,EMI,2,12147.2,24294.4,0,0,24294.4,14939.91,2435.26,9354.49,6919.23,28.48,No
ORD-11125,2024-02-12,February 2024,Hyderabad,South,Electronics,Kindle Paperwhite,Premium,UPI,1,7758.78,7758.78,0,0,7758.78,5686.07,690.37,2072.71,1382.34,17.82,No
ORD-10690,2024-01-21,January 2024,Mumbai,West,Clothing,Ethnic Saree,Loyal,UPI,1,3982.01,3982.01,0,0,3982.01,2166.86,440.41,1815.15,1374.74,34.52,No
ORD-10528,2024-01-21,January 2024,Chennai,South,Grocery,Basmati Rice 5kg,Regular,UPI,3,2434.35,7303.05,0,0,7303.05,5033.89,705.8,2269.16,1563.36,21.41,Yes
ORD-10735,2024-03-27,March 2024,Delhi,North,Sports,Football Nike,New,Cash,1,1956.15,1956.15,5,97.81,1858.34,1178.16,141.07,777.99,636.92,32.56,No
ORD-10886,2024-03-28,March 2024,Hyderabad,South,Sports,Yoga Mat,Regular,UPI,2,6712.36,13424.72,10,1342.47,12082.25,7010.08,1440.45,6414.64,4974.19,37.05,No
ORD-11095,2024-03-02,March 2024,Hyderabad,South,Home & Kitchen,Mixer Grinder,New,Debit Card,3,10601.93,31805.79,10,3180.58,28625.21,19340.77,2986.81,12465.02,9478.21,29.8,Yes
ORD-11025,2024-01-19,January 2024,Chennai,South,Grocery,Tata Salt 1kg,Premium,Unkown,1,591.5,591.5,0,0,591.5,388.19,41.63,203.31,161.68,27.33,No
ORD-10709,2024-02-01,February 2024,Delhi,North,Sports,Treadmill,Regular,Debit Card,1,8013.49,8013.49,0,0,8013.49,4612.36,436.92,3401.13,2964.21,36.99,No
